time_s;speed_kmh;soc_%;P_bar
202.300000;46.969697;96.931567;141.054357
202.400000;47.474747;96.925212;141.053357
202.500000;47.979798;96.918783;141.052358
202.600000;48.484848;96.912282;141.051359
202.700000;48.989899;96.905709;141.050360
202.800000;49.494949;96.899062;141.049360
202.900000;50.000000;96.892342;141.048361
203.000000;50.000000;96.891484;141.047362
203.100000;50.000000;96.890626;141.046362
203.200000;50.000000;96.889768;141.045363
203.300000;50.000000;96.888911;141.044363
203.400000;50.000000;96.888053;141.043364
203.500000;50.000000;96.887195;141.042364
203.600000;50.000000;96.886337;141.041365
203.700000;50.000000;96.885479;141.040365
203.800000;50.000000;96.884621;141.039366
203.900000;50.000000;96.883763;141.038366
204.000000;50.000000;96.882906;141.037367
204.100000;50.000000;96.882048;141.036367
204.200000;50.000000;96.881190;141.035367
204.300000;50.000000;96.880332;141.034367
204.400000;50.000000;96.879474;141.033368
204.500000;50.000000;96.878616;141.032368
204.600000;50.000000;96.877758;141.031368
204.700000;50.000000;96.876901;141.030368
204.800000;50.000000;96.876043;141.029368
204.900000;50.000000;96.875185;141.028368
205.000000;50.000000;96.874327;141.027369
205.100000;50.000000;96.873469;141.026369
205.200000;50.000000;96.872611;141.025369
205.300000;50.000000;96.871753;141.024369
205.400000;50.000000;96.870896;141.023369
205.500000;50.000000;96.870038;141.022369
205.600000;50.000000;96.869180;141.021368
205.700000;50.000000;96.868322;141.020368
205.800000;50.000000;96.867464;141.019368
205.900000;50.000000;96.866606;141.018368
206.000000;50.000000;96.865748;141.017368
206.100000;50.000000;96.864891;141.016368
206.200000;50.000000;96.864033;141.015367
206.300000;50.000000;96.863175;141.014367
206.400000;50.000000;96.862317;141.013367
206.500000;50.000000;96.861459;141.012366
206.600000;50.000000;96.860601;141.011366
206.700000;50.000000;96.859743;141.010366
206.800000;50.000000;96.858886;141.009365
206.900000;50.000000;96.858028;141.008365
207.000000;50.000000;96.857170;141.007364
207.100000;50.000000;96.856312;141.006364
207.200000;50.000000;96.855454;141.005363
207.300000;50.000000;96.854596;141.004363
207.400000;50.000000;96.853738;141.003362
207.500000;50.000000;96.852880;141.002361
207.600000;50.000000;96.852023;141.001361
